product,price,link,years,kilometraje,created,id,city,state
nissan frontier 2.5 xe 4x4 diesel,200000000,https://carro.mercadolibre.com.co/mco-2315118544-nissan-frontier-25-xe-4x4-2023-_jm#position=21&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2023,26300,2024-04-09,2315118544,medellin,antioquia
renault duster oroch 2.0 intens,75000000,https://carro.mercadolibre.com.co/mco-2315212478-renault-duster-oroch-20-intens-2021-_jm#position=22&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2021,48500,2024-04-09,2315212478,medellin,antioquia
volvo xc60 2.5 t5 awd,85000000,https://carro.mercadolibre.com.co/mco-2315251012-volvo-xc60-25-t5-awd-_jm#position=23&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2016,41000,2024-04-09,2315251012,suba,bogota d.c.
ford ranger 3.2 xls,122000000,https://carro.mercadolibre.com.co/mco-2315186048-ford-ranger-32-xls-2020-_jm#position=24&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2020,105550,2024-04-09,2315186048,kennedy,bogota d.c.
chevrolet tracker 1.8 lt,63000000,https://carro.mercadolibre.com.co/mco-2315250558-chevrolet-tracker-18-lt-2016-_jm#position=25&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2016,108000,2024-04-09,2315250558,medellin,antioquia
toyota fortuner 2.7l mid,170000000,https://carro.mercadolibre.com.co/mco-2315117384-toyota-fortuner-27l-srv-_jm#position=26&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2020,56500,2024-04-09,2315117384,puente aranda,bogota d.c.
hyundai tucson ix-35 2.0l 4x2,58000000,https://carro.mercadolibre.com.co/mco-2315173354-hyundai-tucson-ix-35-20-_jm#position=27&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2012,76000,2024-04-09,2315173354,fontibon,bogota d.c.
mercedes-benz clase a 1.6 a 200,60000000,https://carro.mercadolibre.com.co/mco-2315160308-mercedes-benz-clase-a-200-16-_jm#position=28&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2014,76600,2024-04-09,2315160308,engativa,bogota d.c.
volkswagen t-cross 1.0 turbo comfortline,89500000,https://carro.mercadolibre.com.co/mco-1411256097-volkswagen-t-cross-10-turbo-comfortline-_jm#position=29&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2021,26800,2024-04-09,1411256097,suba,bogota d.c.
kia sportage 2.0 lx,84000000,https://carro.mercadolibre.com.co/mco-1411333449-kia-new-sportage-20-lx-2017-_jm#position=30&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2017,110462,2024-04-09,1411333449,envigado,antioquia
kia cerato pro 1.6  summa,53900000,https://carro.mercadolibre.com.co/mco-1411294043-kia-cerato-pro-16-summa-_jm#position=31&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2014,69382,2024-04-09,1411294043,suba,bogota d.c.
renault duster expression,37000000,https://carro.mercadolibre.com.co/mco-1411242969-renault-duster-_jm#position=32&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2015,152871,2024-04-09,1411242969,bosa,bogota d.c.
ford fiesta 1.6 sportback se automatica,42000000,https://carro.mercadolibre.com.co/mco-1411345537-ford-fista-_jm#position=33&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2015,47900,2024-04-09,1411345537,antonio nariño,bogota d.c.
hyundai santa fe 2.2 gl diesel,54000000,https://carro.mercadolibre.com.co/mco-1411302127-hyundai-santafe-22-gl-2012-_jm#position=34&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2012,157234,2024-04-09,1411302127,medellin,antioquia
mazda cx-30 2.5 grand touring,116000000,https://carro.mercadolibre.com.co/mco-1411313227-mazda-cx-30-25-grand-touring-2022-_jm#position=35&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2022,42909,2024-04-09,1411313227,medellin,antioquia
mitsubishi montero 3.0 v43 wagon,62000000,https://carro.mercadolibre.com.co/mco-1411234619-mitsubishi-montero-v43-30-2006-_jm#position=36&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2006,142000,2024-04-09,1411234619,medellin,antioquia
kia cerato 1.6l,59000000,https://carro.mercadolibre.com.co/mco-1411285647-kia-cerato-pro-16-_jm#position=37&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2017,20000,2024-04-09,1411285647,usaquen,bogota d.c.
kia k 2500,64500000,https://carro.mercadolibre.com.co/mco-1411272061-kia-k2500-2016-_jm#position=38&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2016,113000,2024-04-09,1411272061,medellin,antioquia
chevrolet luv 2.3 dlx tfr,26500000,https://carro.mercadolibre.com.co/mco-1411259083-chevrolet-luv-_jm#position=39&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,1997,149584,2024-04-09,1411259083,bosa,bogota d.c.
renault symbol authentique,12500000,https://carro.mercadolibre.com.co/mco-1411323615-renault-simbol-authentique-2007-_jm#position=40&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2007,192817,2024-04-09,1411323615,chapinero,bogota d.c.
ford fiesta 1.6 titanium at,55000000,https://carro.mercadolibre.com.co/mco-1411284593-ford-fiesta-16-titanium-at-2019-_jm#position=41&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2019,69500,2024-04-09,1411284593,envigado,antioquia
fiat mobi 1.0 easy,39000000,https://carro.mercadolibre.com.co/mco-1411245515-fiat-mobi-_jm#position=42&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2020,17000,2024-04-09,1411245515,suba,bogota d.c.
nissan frontier np 300 4x4 2.5 td,135000000,https://carro.mercadolibre.com.co/mco-1411271231-nissan-frontier-np-300-estacas-_jm#position=43&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2019,125000,2024-04-09,1411271231,suba,bogota d.c.
chevrolet sail 1.4 ls,27000000,https://carro.mercadolibre.com.co/mco-1411297049-chevrolet-sail-ls-mt-14-_jm#position=44&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2016,98500,2024-04-09,1411297049,usaquen,bogota d.c.
mazda cx-5 grand touring,148000000,https://carro.mercadolibre.com.co/mco-2314704390-mazda-cx5-gran-touring-_jm#position=45&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2023,10500,2024-04-09,2314704390,suba,bogota d.c.
toyota corolla cross 1.8 seg hybrid,141000000,https://carro.mercadolibre.com.co/mco-2314704382-toyota-corolla-cross-se-g-hybrid-_jm#position=46&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2023,10800,2024-04-09,2314704382,usaquen,bogota d.c.
nissan frontier frontera d22 np300 estacas,69000000,https://carro.mercadolibre.com.co/mco-2314691334-nissan-frontier-d22-np300-estacas-_jm#position=47&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2014,185000,2024-04-09,2314691334,suba,bogota d.c.
chevrolet optra limited 1800,18500000,https://carro.mercadolibre.com.co/mco-1411218715-chevrolet-optra-limited-1800-_jm#position=48&search_layout=grid&type=item&tracking_id=25257b79-b69c-4cf5-94fb-b465d99b0b2d,2006,141500,2024-04-09,1411218715,usaquen,bogota d.c.
renault stepway 1.6 dynamique / intens mecanica,45000000,https://carro.mercadolibre.com.co/mco-1415298145-renault-stepway-dynamique-_jm#position=1&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2017,94800,2024-04-21,1415298145,engativa,bogota d.c.
mazda cx-5 2.0 touring,76000000,https://carro.mercadolibre.com.co/mco-1415297225-mazda-cx5-touring-20-_jm#position=2&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2016,84000,2024-04-21,1415297225,teusaquillo,bogota d.c.
ford fiesta 1.6 sportback mecanica,30900000,https://carro.mercadolibre.com.co/mco-1415284401-ford-fiesta-se-16-_jm#position=3&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2013,88600,2024-04-21,1415284401,teusaquillo,bogota d.c.
nissan qashqai 2.0 advance 142 hp,125000000,https://carro.mercadolibre.com.co/mco-1415232199-nissan-qashqai-advance-20-_jm#position=4&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2022,22700,2024-04-21,1415232199,suba,bogota d.c.
